Geneid,SRR29022831,SRR29022832,SRR29022833,SRR29022834,SRR29022835,SRR29022836,SRR29022837,SRR29022838
ENSG00000302452.1,0,0,0,0,2,0,0,0
ENSG00000295735.1,0,0,0,0,0,0,0,0
ENSG00000284692.3,0,0,8,0,0,0,0,0
ENSG00000284666.1,0,0,0,0,0,0,0,0
ENSG00000260972.1,0,0,0,0,0,0,2,0
ENSG00000299325.1,0,0,0,0,0,0,0,0
ENSG00000283356.1,0,0,0,0,0,0,0,0
ENSG00000289893.2,22,0,8,24,3,10,6,6
ENSG00000264341.1,0,0,0,0,0,0,0,0
ENSG00000295108.1,0,0,0,0,0,0,0,0
ENSG00000295122.1,0,0,0,0,0,0,0,0
ENSG00000298180.1,0,0,0,0,0,0,0,0
ENSG00000264101.1,0,0,0,2,0,0,0,2
ENSG00000131697.20,793,1196,888,701,370,400,554,692
ENSG00000299539.1,0,0,0,6,0,0,0,0
ENSG00000069424.17,1560,1334,4589,428,1865,741,1605,939
ENSG00000116254.19,12,26,41,11,14,10,53,4
ENSG00000285629.1,0,2,0,0,0,0,0,0
ENSG00000116251.13,5101,13857,6384,8099,4156,8390,5365,8435
ENSG00000226944.2,16,43,10,22,3,13,9,5
ENSG00000158286.15,257,1106,427,541,160,502,317,599
ENSG00000116237.18,2077,2289,1892,2216,2333,1942,2402,1844
ENSG00000225077.4,2,0,2,12,8,10,8,2
ENSG00000173673.10,0,0,0,0,0,0,0,0
ENSG00000158292.9,2503,1203,1410,958,489,638,750,630
ENSG00000097021.23,1594,643,1472,540,1551,461,365,291
ENSG00000271746.1,5,18,3,9,2,3,0,4
ENSG00000069812.13,11,48,54,141,229,14,901,453
ENSG00000187017.19,100,780,211,637,200,276,2543,1327
ENSG00000265392.1,0,1,0,0,0,0,0,0
ENSG00000231868.1,5,23,0,5,0,0,34,18
ENSG00000215788.13,607,922,1894,583,489,501,735,591
ENSG00000171680.25,878,2972,1106,2068,275,1061,1445,1639
ENSG00000297749.1,10,1,0,0,0,6,3,6
ENSG00000299237.1,0,4,0,2,0,3,0,2
ENSG00000299253.1,0,4,0,4,0,0,0,0
ENSG00000162408.13,1165,1167,1313,876,738,676,849,682
ENSG00000253022.1,0,0,0,0,0,0,0,0
ENSG00000229519.2,6,15,1,4,1,4,3,9
ENSG00000173662.22,0,20,0,17,6,10,6,14
ENSG00000204859.15,546,1205,1090,856,549,823,679,771
ENSG00000162413.18,2527,6347,2565,3741,2267,4020,1983,4430
ENSG00000295286.1,0,2,0,3,1,6,9,4
ENSG00000304810.1,2,8,2,16,1,14,20,24
ENSG00000116273.8,1160,2235,1089,1409,742,1152,931,1198
ENSG00000041988.18,616,1070,645,729,262,751,566,718
ENSG00000007923.19,1235,1330,1176,709,967,577,1038,850
ENSG00000228750.8,0,0,0,0,0,0,0,0
ENSG00000284744.1,0,0,0,0,0,0,0,0
ENSG00000237436.2,39,66,41,61,30,22,16,31
ENSG00000171735.22,1717,1856,1292,1912,722,1638,1158,1149
ENSG00000227950.1,0,0,0,0,0,0,0,0
ENSG00000237365.1,0,0,0,0,0,0,0,0
ENSG00000207056.1,0,0,0,0,0,0,0,0
ENSG00000310450.1,0,0,0,0,0,0,0,0
ENSG00000237402.2,0,0,0,2,0,0,0,2
ENSG00000237728.3,0,0,0,0,0,0,0,0
ENSG00000294314.1,0,0,0,0,0,0,0,0
ENSG00000225126.2,0,2,2,3,0,0,0,2
ENSG00000298973.1,0,0,0,0,0,0,0,0
ENSG00000306883.1,0,0,0,0,0,0,0,0
