Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Type II diabetes mellitus	10/46	1.913760e-01	7.066104e-01	0	0	1.458681e+00	2.411952e+00	HK3;SOCS1;IRS1;IRS2;SLC2A4;MAFA;CACNA1E;HK2;GCK;CACNA1G
KEGG_2021_Human	Apoptosis	27/142	1.916660e-01	7.066104e-01	0	0	1.233662e+00	2.038012e+00	BCL2A1;CTSZ;ITPR1;FASLG;CTSS;LMNB2;LMNB1;TP53AIP1;TUBA1C;CASP8;AIFM1;CTSL;CTSH;CTSF;BAK1;CTSD;CTSC;CTSB;NTRK1;PARP1;DAB2IP;GZMB;TRAF1;CYCS;BIRC5;BAX;BIRC3
KEGG_2021_Human	Natural killer cell mediated cytotoxicity	25/131	1.973223e-01	7.066104e-01	0	0	1.239154e+00	2.011044e+00	CSF2;ITGB2;FASLG;ITGAL;ICAM1;FCGR3A;RAC2;FCER1G;SYK;PRKCB;SH2D1A;GZMB;VAV1;ZAP70;NCR3;TYROBP;IFNG;LCK;RAET1L;CD48;LCP2;PTPN6;ULBP2;ULBP1;HCST
KEGG_2021_Human	Bladder cancer	9/41	1.999219e-01	7.066104e-01	0	0	1.476805e+00	2.377402e+00	CXCL8;CDKN2A;DAPK1;MMP1;E2F1;E2F2;E2F3;MMP9;TYMP
KEGG_2021_Human	Homologous recombination	9/41	1.999219e-01	7.066104e-01	0	0	1.476805e+00	2.377402e+00	RAD51B;BLM;BRIP1;RAD51;EME1;XRCC2;RAD54L;BRCA2;RAD54B
KEGG_2021_Human	Influenza A	32/172	2.018148e-01	7.066104e-01	0	0	1.201118e+00	1.922274e+00	CXCL8;FASLG;ICAM1;IFIH1;CASP8;HLA-DMB;CCL5;IL12B;CCL2;BAK1;KPNA2;HLA-DOB;HLA-DQA2;IKBKE;HLA-DPA1;RSAD2;PRKCB;STAT1;IL18;CXCL10;IFNG;OAS1;OAS2;OAS3;IRF7;HLA-DPB1;CYCS;HLA-DRA;BAX;VDAC1;SLC25A5;MYD88
KEGG_2021_Human	Fc gamma R-mediated phagocytosis	19/97	2.018887e-01	7.066104e-01	0	0	1.279554e+00	2.047336e+00	ACTR3;ACTR2;GSN;NCF1;SYK;PRKCB;LIMK1;ARPC5L;WAS;VAV1;HCK;FCGR3A;PTPRC;ARPC3;CFL2;JMJD7-PLA2G4B;RAC2;FCGR1A;DOCK1
KEGG_2021_Human	Synthesis and degradation of ketone bodies	3/10	2.066339e-01	7.152052e-01	0	0	2.249498e+00	3.547023e+00	BDH2;HMGCS1;HMGCLL1
KEGG_2021_Human	DNA replication	8/36	2.088853e-01	7.152052e-01	0	0	1.500134e+00	2.349165e+00	PRIM2;FEN1;PCNA;RFC4;MCM4;DNA2;MCM6;MCM2
KEGG_2021_Human	Glioma	15/75	2.117624e-01	7.172597e-01	0	0	1.312990e+00	2.038142e+00	CAMK2B;PDGFRA;CAMK1D;PRKCB;CDKN2A;CAMK2A;PDGFA;TGFA;IGF1R;CAMK4;E2F1;E2F2;BAX;E2F3;BAK1
KEGG_2021_Human	Galactose metabolism	7/31	2.182295e-01	7.175093e-01	0	0	1.531273e+00	2.330916e+00	HK3;GALE;GLB1;AKR1B1;LCT;HK2;GCK
KEGG_2021_Human	Toll-like receptor signaling pathway	20/104	2.186583e-01	7.175093e-01	0	0	1.250636e+00	1.901273e+00	CD86;CXCL9;CXCL8;STAT1;CCL4L2;CD80;CXCL10;CXCL11;CASP8;IRAK1;CCL5;CCL4;IRF7;CCL3;IL12B;TLR8;IRF5;TLR6;IKBKE;MYD88
KEGG_2021_Human	JAK-STAT signaling pathway	30/162	2.186695e-01	7.175093e-01	0	0	1.194113e+00	1.815284e+00	CNTFR;CSF2;CTF1;FHL1;PDGFA;IL2RG;SOCS1;LEPR;IL21R;IL12B;IL13RA2;IL12RB1;JAK3;IL10;PDGFRA;TSLP;STAT1;IL10RA;OSM;IL19;LIFR;GFAP;IFNG;IL23A;IL2RA;LEP;IL2RB;PTPN6;IL6ST;IL7R
KEGG_2021_Human	Gastric acid secretion	15/76	2.273501e-01	7.323596e-01	0	0	1.291389e+00	1.912888e+00	CAMK2B;MYLK2;KCNJ10;PRKCB;CAMK2A;ADCY4;ITPR1;KCNJ15;KCNJ16;ATP1A2;ATP1B2;ADCY1;ADCY7;MYLK;ADCY5
KEGG_2021_Human	Maturity onset diabetes of the young	6/26	2.278452e-01	7.323596e-01	0	0	1.574906e+00	2.329426e+00	RFX6;PAX6;BHLHA15;MAFA;MNX1;GCK
KEGG_2021_Human	Proteoglycans in cancer	37/205	2.372607e-01	7.549203e-01	0	0	1.157207e+00	1.664753e+00	CAMK2B;HPSE2;CAMK2A;ITPR1;FASLG;HIF1A;HOXD10;FGF2;IGF1R;WNT11;CTSL;PLAU;GPC3;IL12B;WNT2;PRKCB;CAV2;CAV1;ITGA2;FN1;IGF2;PLAUR;FZD8;WNT16;ESR1;MMP9;VAV1;DCN;COL1A1;TIAM1;COL1A2;SDC1;HCLS1;PTPN6;HPSE;PPP1R12B;FGFR1
KEGG_2021_Human	Vitamin B6 metabolism	2/6	2.474450e-01	7.793815e-01	0	0	2.624062e+00	3.664679e+00	PSAT1;PDXP
KEGG_2021_Human	Cocaine addiction	10/49	2.510455e-01	7.793815e-01	0	0	1.346234e+00	1.860659e+00	GRIA2;MAOB;CDK5;BDNF;CREB3L1;CREB3L2;DRD2;GRIN2B;ADCY5;CDK5R1
KEGG_2021_Human	Taurine and hypotaurine metabolism	3/11	2.523711e-01	7.793815e-01	0	0	1.968193e+00	2.709916e+00	GGT7;CDO1;CSAD
KEGG_2021_Human	Oxytocin signaling pathway	28/154	2.603230e-01	7.961335e-01	0	0	1.167262e+00	1.570938e+00	CAMK2B;MYLK2;OXTR;NPR1;CAMK2A;ITPR1;ADCY4;ADCY1;CACNA1F;ADCY7;RYR3;MYLK;PIK3R5;ADCY5;TRPM2;RGS2;CD38;KCNJ6;CAMK1D;PRKCB;KCNJ12;CACNA2D1;CACNA2D2;NFATC4;JMJD7-PLA2G4B;CAMK4;PPP1R12B;MYL9
KEGG_2021_Human	Yersinia infection	25/137	2.687618e-01	8.117307e-01	0	0	1.172349e+00	1.540385e+00	CXCL8;ARHGEF28;ARPC5L;WAS;RPS6KA6;IRAK1;RAC2;CCL2;ACTR3;IL10;ACTR2;FYB1;ITGA4;LIMK1;FN1;IL18;VAV1;ZAP70;CD4;CD8A;ARPC3;LCK;LCP2;DOCK1;MYD88
